species,basisOfRecord,brackish,catalogNumber,class,classid,date_end,date_mid,date_start,date_year,decimalLatitude,decimalLongitude,eventDate,family,familyid,genus,genusid,gigaclass,gigaclassid,infraphylum,infraphylumid,institutionCode,kingdom,kingdomid,locality,marine,occurrenceID,occurrenceStatus,order,orderid,ownerInstitutionCode,parvphylum,parvphylumid,phylum,phylumid,references,scientificName,scientificNameID,speciesid,subphylum,subphylumid,superclass,superclassid,id,dataset_id,node_id,dropped,absence,originalScientificName,aphiaID,flags,bathymetry,shoredistance,sst,sss,coordinateUncertaintyInMeters,country,footprintWKT,geodeticDatum,associatedReferences,collectionCode,collectionID,depth,eventID,identifiedBy,individualCount,lifeStage,maximumDepthInMeters,minimumDepthInMeters,samplingProtocol,waterBody,accessRights,datasetName,day,island,islandGroup,license,modified,month,recordNumber,recordedBy,rightsHolder,taxonID,type,verbatimDepth,year,disposition,higherGeography,language,namePublishedInID,originalNameUsage,scientificNameAuthorship,specificEpithet,startDayOfYear,verbatimCoordinateSystem,verbatimCoordinates,verbatimLatitude,verbatimLongitude,continent,datasetID,acceptedNameUsage,acceptedNameUsageID,countryCode,dateIdentified,eventRemarks,fieldNumber,identificationID,institutionID,locationID,locationRemarks,preparations,previousIdentifications,taxonRank,verbatimSRS,typeStatus,georeferenceProtocol,georeferenceRemarks,higherClassification,nomenclaturalCode,stateProvince,unaccepted,bibliographicCitation,habitat,sex,coordinatePrecision,occurrenceRemarks,subfamily,subfamilyid,organismQuantity,organismQuantityType,vernacularName,endDayOfYear,footprintSRS
Sardinella longiceps,HumanObservation,False,4012,Teleostei,293496.0,-3865795200000.0,-3865795200000.0,-3865795200000.0,1847.0,10.0,93.0,1847-07-02T12:00:00Z,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CMLRE,Animalia,2.0,Andaman & Nicobar Islands,True,12590,present,Clupeiformes,10297.0,NIO,Osteichthyes,152352.0,Chordata,1821.0,This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,01f765c6-7c44-48c2-956d-0cec7f8ee7da,b43e35f1-93b3-4b15-9925-76ac85224c72,['1a3b0f1a-4474-4d73-9ee1-d28f92a83996'],False,False,Sardinella longiceps,212269.0,['NO_DEPTH'],1324.0,77172.0,28.91,32.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,,,,,12.4105308574551,53.2672707221978,,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,,Animalia,2.0,Socotra Archipelago,True,socotra-zajonz-2019:occurrence:7c20f4189386153ade2f048c7088cd95,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,03311c58-289e-4e10-a030-8270d9238d44,4c280275-b20c-4cb2-b96b-96410db3601d,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Sardinella longiceps,212269.0,['NO_DEPTH'],533.0,13467.0,26.5,35.92,160752.954386071,Yemen,"MULTIPOLYGON (((53.1257 12.4378, 53.1472 12.4041, 53.175 12.3763, 53.2225 12.345, 53.2527 12.3268, 53.2122 12.3202, 53.1805 12.345, 53.1387 12.3637, 53.1 12.3728, 53.0622 12.377, 53.0211 12.3791, 52.9751 12.3755, 52.9452 12.3686, 52.8915 12.3489, 52.8471 12.3211, 52.8199 12.2933, 52.7987 12.2639, 52.7812 12.2249, 52.7736 12.1811, 52.7736 12.1548, 52.7769 12.1257, 52.7936 12.0804, 52.8135 12.048, 52.8383 12.0202, 52.8728 11.9945, 52.9091 11.9764, 52.9429 11.9579, 52.9798 11.9416, 53.0095 11.9304, 53.043 11.9222, 53.0775 11.9204, 53.1123 11.925, 53.1401 11.9319, 53.1579 11.9398, 53.1859 11.9271, 53.2304 11.9156, 53.2642 11.9129, 53.2945 11.9086, 53.3226 11.9092, 53.3643 11.9171, 53.3985 11.9304, 53.4355 11.9529, 53.4612 11.9765, 53.4803 11.9998, 53.4936 12.0243, 53.5072 12.0572, 53.5129 12.0818, 53.5144 12.1106, 53.5138 12.1319, 53.5118 12.1426, 53.5342 12.1403, 53.5676 12.1259, 53.6079 12.1149, 53.678 12.103, 53.7907 12.103, 53.838 12.1105, 53.865 12.1135, 53.904 12.1225, 53.9618 12.1338, 54.0024 12.1293, 54.0362 12.1338, 54.0737 12.1383, 54.1037 12.1541, 54.1248 12.1518, 54.1758 12.1541, 54.1968 12.1631, 54.2456 12.1773, 54.2757 12.1954, 54.2982 12.2164, 54.3297 12.2254, 54.3538 12.2502, 54.4108 12.2622, 54.4821 12.2817, 54.5234 12.3027, 54.5595 12.3222, 54.5963 12.3545, 54.6413 12.3755, 54.6743 12.4003, 54.7126 12.4416, 54.7261 12.4747, 54.7389 12.5445, 54.7359 12.5813, 54.7254 12.6098, 54.7111 12.6533, 54.6864 12.6804, 54.6631 12.7036, 54.6398 12.7269, 54.6083 12.7389, 54.5842 12.7464, 54.5445 12.7547, 54.5167 12.757, 54.4987 12.7607, 54.4746 12.7705, 54.4499 12.7847, 54.4243 12.7915, 54.4078 12.799, 54.3845 12.7997, 54.3695 12.808, 54.3432 12.8223, 54.3215 12.829, 54.2959 12.8486, 54.2727 12.8591, 54.2531 12.8658, 54.2254 12.8666, 54.2096 12.8741, 54.1901 12.8808, 54.1713 12.8876, 54.154 12.8943, 54.1188 12.8951, 54.0962 12.8996, 54.079 12.8974, 54.0579 12.8981, 54.0354 12.8883, 54.0136 12.8816, 53.9934 12.8771, 53.9791 12.8651, 53.9491 12.8463, 53.91 12.8493, 53.874 12.8448, 53.844 12.8395, 53.8094 12.8305, 53.7891 12.8448, 53.7569 12.8651, 53.7306 12.8823, 53.7021 12.8898, 53.669 12.9004, 53.6142 12.8981, 53.5954 12.9049, 53.5444 12.9116, 53.4791 12.9101, 53.446 12.9004, 53.413 12.8898, 53.3785 12.8688, 53.3567 12.8523, 53.3304 12.8433, 53.2899 12.8208, 53.2643 12.8058, 53.2501 12.8185, 53.2351 12.8223, 53.2125 12.8298, 53.1938 12.835, 53.1697 12.835, 53.145 12.8373, 53.1307 12.8335, 53.1269 12.8361, 53.0892 12.8275, 53.052 12.8094, 53.017 12.7836, 52.9923 12.7561, 52.9717 12.722, 52.9577 12.6845, 52.9517 12.651, 52.952 12.6186, 52.9577 12.586, 52.9663 12.5587, 52.9812 12.5316, 52.9955 12.511, 53.0158 12.4898, 53.0324 12.4758, 53.0439 12.4683, 53.0585 12.46, 53.0771 12.4506, 53.0959 12.4437, 53.1224 12.4382, 53.1257 12.4378)), ((52.3406 12.3962, 52.3455 12.4293, 52.344 12.4704, 52.3388 12.4961, 52.3235 12.5307, 52.3076 12.5597, 52.2837 12.5854, 52.2527 12.6087, 52.2198 12.6272, 52.1769 12.6388, 52.1423 12.6431, 52.1123 12.6406, 52.0802 12.6344, 52.0527 12.6252, 52.0208 12.6079, 51.9919 12.5854, 51.9723 12.5632, 51.9543 12.5369, 51.9387 12.503, 51.9283 12.4647, 51.9268 12.4259, 51.933 12.392, 51.9117 12.3722, 51.9023 12.3611, 51.886 12.338, 51.8778 12.32, 51.8672 12.2962, 51.8647 12.2854, 51.8588 12.252, 51.8588 12.2312, 51.8595 12.2013, 51.863 12.1862, 51.8734 12.1515, 51.8855 12.1285, 51.9004 12.1065, 51.9239 12.0807, 51.9449 12.0631, 51.9684 12.049, 51.9961 12.0339, 52.0246 12.0208, 52.0543 12.0124, 52.0738 12.0025, 52.1065 11.9906, 52.1367 11.9854, 52.1508 11.9782, 52.1811 11.9661, 52.2075 11.9602, 52.235 11.9567, 52.2582 11.952, 52.2889 11.9486, 52.3134 11.9483, 52.3451 11.9493, 52.3656 11.9538, 52.3884 11.9555, 52.4189 11.9597, 52.4426 11.9659, 52.4671 11.9758, 52.4939 11.9911, 52.5183 12.0111, 52.5352 12.0287, 52.5495 12.0463, 52.5621 12.0688, 52.5708 12.0878, 52.577 12.1066, 52.5809 12.1164, 52.5898 12.1382, 52.5955 12.1617, 52.5982 12.1859, 52.5975 12.2094, 52.595 12.2327, 52.5881 12.2609, 52.5777 12.2851, 52.564 12.3079, 52.5447 12.3324, 52.5222 12.3521, 52.5019 12.3672, 52.471 12.3831, 52.4361 12.3935, 52.4039 12.3982, 52.3752 12.3974, 52.3535 12.3942, 52.3406 12.3962)))",WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,PreservedSpecimen,False,IO/SS/FIS/00089,Teleostei,293496.0,1276473600000.0,1276473600000.0,1276473600000.0,2010.0,8.66,76.56,2010-06-14,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CMLRE,Animalia,2.0,Intermediate between Thiruvananthapuram and Kollam,True,87617,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,05f6aa72-6e7b-4208-a18a-089a908457b2,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,['1a3b0f1a-4474-4d73-9ee1-d28f92a83996'],False,False,Sardinella longiceps,212269.0,[],48.0,17634.0,28.23,34.35,,,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",voucher specimen collections,IndOBIS Dataset,25.0,SS27612,"Sree Renjima G, C. B. Lalithambika Devi, CMLRE",1,Larvae,50.0,0.0,Bongo Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1244937600000.0,1244246400000.0,1243641600000.0,2009.0,8.47,76.49,2009-05-30/2009-06-14,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CMLRE,Animalia,2.0,Tvpm,True,94224,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,06ee5772-6a63-4c8b-8450-da1b9c4ef754,a4257cff-3c2c-4a60-ab29-91f65545bb08,['1a3b0f1a-4474-4d73-9ee1-d28f92a83996'],False,False,Sardinella longiceps,212269.0,[],94.0,36801.0,28.36,34.36,,,,,Records based on primary data generated onboard FORV Sagar Sampada,CMLRE-FISH LARVAE,FORV-SS-267 I&II,100.0,,"Ms. Sree Renjima G, Dr. C. B. Lalithambika Devi",,,100.0,,,South Eastern Arabian Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,PreservedSpecimen,False,21422,Teleostei,293496.0,,,,,23.8333,57.6667,,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,BPBM,Animalia,2.0,,True,FN2[32848459]:BPBM-5[212269:21422],,Clupeiformes,10297.0,TU,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,085eb4aa-eb09-4d36-8e54-6937b73015ec,2891a788-9f30-4413-8f73-9e7686890e9d,['dcb0c76d-46a1-4e07-9a69-98cf3fd67576'],False,False,Sardinella longiceps,212269.0,['NO_DEPTH'],15.0,6186.0,28.29,36.85,,,,,,I,5,,,,1,,,,,,Non-commercial use only,BPBM,11,Gulf of Oman,Gulf of Oman,(CC-BY NC) 4.0,9/1/2003,3,44010255,"W.F. Smith-Vaniz, aboard M/V ""Darbat""",Tulane University,212269,Collection,18m,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1293753600000.0,1262217600000.0,1230768000000.0,2009.0,11.7167,79.8167,2009/2010,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CMLRE,Animalia,2.0,Cuddalore,True,82396,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,09cd9551-331d-4f3a-8302-c979c10aab69,8e230527-988f-4984-8c30-ecc64771b06c,['1a3b0f1a-4474-4d73-9ee1-d28f92a83996'],False,False,Sardinella longiceps,212269.0,['NO_DEPTH'],14.0,3674.0,28.53,33.09,,India,,,"P. Murugesan, S. Purusothaman and S. Muthuvelu., Trophic Level of Fishes Associated in the Trawl Bycatch from Parangipettai and Cuddalore, Southeast Coast of India",,IndOBIS Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1376179200000.0,1374969600000.0,1373760000000.0,2013.0,9.4984,76.14273333,2013-07-14/2013-08-11,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CMLRE,Animalia,2.0,Aleppey,True,94393,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,0a50f164-9345-42fa-9d7f-6640390e8c7a,a4257cff-3c2c-4a60-ab29-91f65545bb08,['1a3b0f1a-4474-4d73-9ee1-d28f92a83996'],False,False,Sardinella longiceps,212269.0,[],29.0,18665.0,28.4,34.41,,,,,Records based on primary data generated onboard FORV Sagar Sampada,CMLRE-FISH LARVAE,"FORV-SS-316,317",33.0,,"Ms. Sree Renjima G, Dr. C. B. Lalithambika Devi",,,33.0,33.0,,South Eastern Arabian Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,PreservedSpecimen,False,35715,Teleostei,293496.0,,,,,11.250505,75.773362,,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CAS,Animalia,2.0,,True,FN2[31250045]:CAS-62[212269:35715],,Clupeiformes,10297.0,TU,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,0e28cfa4-987b-4ed5-a18e-d6dd0eb6d5a5,2891a788-9f30-4413-8f73-9e7686890e9d,['dcb0c76d-46a1-4e07-9a69-98cf3fd67576'],False,False,Sardinella longiceps,212269.0,"['NO_DEPTH', 'ON_LAND']",-7.0,-211.0,,,4793.0,India,,,,SU,62,,,,3,,,,,,Non-commercial use only,CAS,,,,(CC-BY NC) 4.0,00:00.0,,31133313,,Tulane University,212269,Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1376179200000.0,1374969600000.0,1373760000000.0,2013.0,13.87516667,74.38733333,2013-07-14/2013-08-11,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CMLRE,Animalia,2.0,Bhatkal,True,94407,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,101876d0-3e3f-46f0-a6a2-2bd0cd024805,a4257cff-3c2c-4a60-ab29-91f65545bb08,['1a3b0f1a-4474-4d73-9ee1-d28f92a83996'],False,False,Sardinella longiceps,212269.0,[],32.0,16124.0,28.57,35.08,,,,,Records based on primary data generated onboard FORV Sagar Sampada,CMLRE-FISH LARVAE,"FORV-SS-316,317",32.0,,"Ms. Sree Renjima G, Dr. C. B. Lalithambika Devi",,,32.0,32.0,,South Eastern Arabian Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1244937600000.0,1244246400000.0,1243641600000.0,2009.0,8.47,76.8,2009-05-30/2009-06-14,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CMLRE,Animalia,2.0,Tvpm,True,94222,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,10d24641-3aaf-4874-9f38-919c6810eafd,a4257cff-3c2c-4a60-ab29-91f65545bb08,['1a3b0f1a-4474-4d73-9ee1-d28f92a83996'],False,False,Sardinella longiceps,212269.0,[],46.0,10074.0,28.15,34.32,,,,,Records based on primary data generated onboard FORV Sagar Sampada,CMLRE-FISH LARVAE,FORV-SS-267 I&II,30.0,,"Ms. Sree Renjima G, Dr. C. B. Lalithambika Devi",,,30.0,,,South Eastern Arabian Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,PreservedSpecimen,False,IO/SS/FIS/00138,Teleostei,293496.0,1249603200000.0,1249603200000.0,1249603200000.0,2009.0,10.81,75.58,2009-08-07,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CMLRE,Animalia,2.0,Intermediate between Kozhikode and Kochi,True,87666,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,1230c80c-aac6-4dcb-8e0e-3220d625add4,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,['1a3b0f1a-4474-4d73-9ee1-d28f92a83996'],False,False,Sardinella longiceps,212269.0,[],41.0,34764.0,28.44,34.58,,,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",voucher specimen collections,IndOBIS Dataset,25.0,SS270I24,"Sree Renjima G, C. B. Lalithambika Devi, CMLRE",1,Larvae,50.0,0.0,Bongo Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,,,,,21.9442127684078,88.8980217778187,,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,,Animalia,2.0,Bangla Sundarbans,True,bangla-sundarbans-habib-2020:occurrence:7b35a2732e1e224bd6d1748682b13211,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,13718833-b9a6-4ec9-a9dc-1db4b1f84059,64368de6-9bf2-43e3-9a77-647029b897e6,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Sardinella longiceps,212269.0,"['NO_DEPTH', 'ON_LAND']",-1.0,-46.0,,,29343.6447842925,Bangladesh,"POLYGON ((88.9608 22.1907, 88.9503 22.1907, 88.9436 22.1936, 88.9465 22.186, 88.9436 22.1841, 88.9398 22.1822, 88.9351 22.1784, 88.9265 22.1784, 88.9236 22.1708, 88.9208 22.165, 88.9075 22.1698, 88.9075 22.1708, 88.9027 22.1717, 88.8961 22.1688, 88.8961 22.1631, 88.9075 22.1536, 88.9103 22.1413, 88.9103 22.1355, 88.9141 22.1298, 88.9284 22.1194, 88.9313 22.1089, 88.9275 22.0975, 88.9208 22.0851, 88.9103 22.0851, 88.9075 22.0889, 88.8941 22.0918, 88.8818 22.0889, 88.8713 22.0908, 88.8627 22.0984, 88.857 22.1041, 88.8532 22.1146, 88.8513 22.1203, 88.8466 22.1241, 88.8409 22.127, 88.8313 22.127, 88.8199 22.126, 88.8123 22.1289, 88.8047 22.126, 88.8047 22.1165, 88.7999 22.1137, 88.7885 22.1089, 88.7838 22.1051, 88.7819 22.0975, 88.7809 22.0908, 88.7762 22.087, 88.7647 22.0842, 88.7581 22.0785, 88.7543 22.0689, 88.7486 22.0642, 88.7495 22.048, 88.7562 22.0356, 88.7609 22.0214, 88.7581 22.0061, 88.7533 21.9957, 88.7486 21.9843, 88.7352 21.9805, 88.7257 21.9785, 88.7229 21.9462, 88.7229 21.9386, 88.721 21.9329, 88.7162 21.9243, 88.7162 21.911, 88.721 21.91, 88.7267 21.9034, 88.7324 21.9015, 88.74 21.8996, 88.7467 21.8958, 88.7495 21.8901, 88.7562 21.8872, 88.7581 21.8805, 88.7714 21.8777, 88.7733 21.8691, 88.78 21.8615, 88.78 21.8558, 88.7724 21.8539, 88.7714 21.8406, 88.779 21.8425, 88.7895 21.8425, 88.8019 21.8415, 88.818 21.8472, 88.8304 21.8425, 88.8323 21.8358, 88.8323 21.8235, 88.8361 21.8044, 88.8323 21.7921, 88.8304 21.7835, 88.8304 21.7768, 88.8399 21.774, 88.8523 21.7749, 88.8608 21.7711, 88.8704 21.7654, 88.8742 21.7568, 88.8789 21.7454, 88.9189 21.7254, 88.9255 21.7312, 88.9275 21.7464, 88.9246 21.7588, 88.9303 21.7645, 88.9408 21.7607, 88.9474 21.7588, 88.9589 21.7559, 88.9636 21.753, 88.9674 21.7454, 88.9703 21.7359, 88.9788 21.7445, 88.9855 21.7473, 88.9893 21.7407, 88.9788 21.7369, 88.9788 21.7312, 88.9912 21.7245, 89.0026 21.7188, 89.0102 21.7159, 89.0178 21.7188, 89.0283 21.7188, 89.0426 21.7226, 89.0597 21.7264, 89.0578 21.7321, 89.0502 21.7388, 89.0416 21.7454, 89.0321 21.7559, 89.0283 21.7692, 89.0245 21.7749, 89.0245 21.7873, 89.0236 21.7997, 89.0255 21.8092, 89.0293 21.8263, 89.0331 21.8396, 89.034 21.8529, 89.034 21.8606, 89.0302 21.8691, 89.0245 21.8748, 89.0169 21.8834, 89.015 21.891, 89.0178 21.9015, 89.0207 21.911, 89.0236 21.9167, 89.0274 21.9234, 89.0331 21.9253, 89.0188 21.9338, 89.0112 21.9405, 89.0017 21.9471, 89.0007 21.9557, 89.0055 21.9643, 89.0102 21.969, 89.015 21.9728, 89.0169 21.9805, 89.0121 21.9852, 89.0055 21.9824, 89.0007 21.9776, 88.995 21.9738, 88.9931 21.9805, 88.9893 21.9852, 88.9817 21.9881, 88.9779 21.99, 88.9788 21.9938, 88.9807 21.9985, 88.9779 22.0071, 88.9731 22.0109, 88.9712 22.0128, 88.9798 22.0299, 88.9817 22.0375, 88.9817 22.0404, 88.975 22.0442, 88.9703 22.0461, 88.9646 22.0499, 88.9665 22.0547, 88.9684 22.0623, 88.9703 22.067, 88.9722 22.0794, 88.9788 22.0918, 88.9817 22.0994, 88.9874 22.1099, 88.9912 22.1213, 88.9931 22.1327, 88.9941 22.1432, 88.9941 22.146, 88.9887 22.1532, 88.9826 22.1546, 88.9798 22.1593, 88.9731 22.166, 88.9703 22.1765, 88.9674 22.1879, 88.9671 22.1926, 88.9608 22.1907))",WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,PreservedSpecimen,False,21422,Teleostei,293496.0,226886400000.0,226886400000.0,226886400000.0,1977.0,23.8333,57.6667,1977-03-11,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,BPBM,Animalia,2.0,Gulf of Oman,True,70b23d47-bcb7-4d27-8b64-655a7d3f9547,present,Clupeiformes,10297.0,BPBM,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,158fd326-2475-4140-8e40-79d73a7eb14d,10b213e6-a9c4-459e-a40c-ef9edc461b97,['6c17c09e-5cc2-4d5a-8463-e866731d35a1'],False,False,Sardinella longiceps,212269.0,[],15.0,6186.0,28.29,36.85,100.0,,POINT (57.66670 23.83330),WGS84,,I,,18.0,,,1,,18.0,18.0,Trawl,Indian Ocean,http://www.vertnet.org/resources/norms.html,Bishop Museum Fish Specimens,11,Gulf of Oman,Gulf of Oman,http://creativecommons.org/publicdomain/zero/1.0,1/09/2003 0:00:00,3,,,Bernice Pauahi Bishop Museum,,PhysicalObject,18m,1977,in collection,Indian Ocean;Gulf of Oman;Gulf of Oman;,en,e573a831-6e6c-4b5d-b5a1-e08ad02fbea6,Sardinella longiceps,"Valenciennes, 1847",longiceps,70,degrees minutes seconds,"23°50'N, 57°40'E",23°50'N,57°40'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,PreservedSpecimen,False,38128-32,Teleostei,293496.0,,,,,24.850037,66.851557,,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,LACM,Animalia,2.0,,True,FN2[32613435]:LACM-9[212269:38128-32],,Clupeiformes,10297.0,TU,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,15bc402c-31f2-4ef8-9999-dcbda1e6c61c,2891a788-9f30-4413-8f73-9e7686890e9d,['dcb0c76d-46a1-4e07-9a69-98cf3fd67576'],False,False,Sardinella longiceps,212269.0,['NO_DEPTH'],4.0,1234.0,26.37,36.02,10000.0,Pakistan,,,,Fish,9,,,,1,,,,,,Non-commercial use only,LACM,23,,,(CC-BY NC) 4.0,10/8/2018,4,38090812,C. Swift et al.,Tulane University,212269,Collection,15.2-18.2,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinella longiceps,PreservedSpecimen,False,IO/SS/FIS/00126,Teleostei,293496.0,1254096000000.0,1254096000000.0,1254096000000.0,2009.0,11.99,75.06,2009-09-28,Dorosomatidae,1618557.0,Sardinella,125721.0,Actinopterygii,10194.0,Gnathostomata,1828.0,CMLRE,Animalia,2.0,off Kannur,True,87654,present,Clupeiformes,10297.0,,Osteichthyes,152352.0,Chordata,1821.0,,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Vertebrata,146419.0,Actinopteri,843664.0,16d056c6-4180-4f9e-857e-665b3ffdf993,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e,['1a3b0f1a-4474-4d73-9ee1-d28f92a83996'],False,False,Sardinella longiceps,212269.0,[],32.0,14679.0,28.5,34.79,,,,,"Records based on voucher specimens held in FORV Referral Centre, CMLRE",voucher specimen collections,IndOBIS Dataset,15.0,SS27226,"Sree Renjima G, C. B. Lalithambika Devi, CMLRE",1,Larvae,30.0,0.0,Bongo Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
